"QueryType";"Exchange";"NameExchange";"Preference";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"MX";"presentenschede-nl.mail.protection.outlook.com";"presentenschede-nl.mail.protection.outlook.com";"100";"presentenschede.nl";"MX";"Unicode";"Answer";"110";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentepe-heerde.nl";"MX";"Unicode";"Answer";"56";"1254"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentermelo.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentfraneker.nl";"mail.presentfraneker.nl";"10";"presentfraneker.nl";"MX";"Unicode";"Answer";"64";"1254"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentfryslan.nl";"MX";"Unicode";"Answer";"56";"1254"
"MX";"mail.presentgeldermalsen.nl";"mail.presentgeldermalsen.nl";"10";"presentgeldermalsen.nl";"MX";"Unicode";"Answer";"72";"1439"
"MX";"presentgouda-nl.mail.protection.outlook.com";"presentgouda-nl.mail.protection.outlook.com";"0";"presentgouda.nl";"MX";"Unicode";"Answer";"104";"3599"
"MX";"presentgroningen-nl.mail.protection.outlook.com";"presentgroningen-nl.mail.protection.outlook.com";"0";"presentgroningen.nl";"MX";"Unicode";"Answer";"112";"3599"
"MX";"presenthaarlem-nl.mail.protection.outlook.com";"presenthaarlem-nl.mail.protection.outlook.com";"0";"presenthaarlem.nl";"MX";"Unicode";"Answer";"108";"3599"
"MX";"mail.presenthaarlemmermeer.nl";"mail.presenthaarlemmermeer.nl";"10";"presenthaarlemmermeer.nl";"MX";"Unicode";"Answer";"76";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presenthardenberg.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentharderwijk.nl";"MX";"Unicode";"Answer";"56";"1254"
"MX";"mail.presentharlingen.nl";"mail.presentharlingen.nl";"10";"presentharlingen.nl";"MX";"Unicode";"Answer";"66";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentheerenveen.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentheerhugowaard.nl";"mail.presentheerhugowaard.nl";"10";"presentheerhugowaard.nl";"MX";"Unicode";"Answer";"74";"1439"
"MX";"presentheerhugowaardlangedijk-nl05b.mail.protection.outlook.com";"presentheerhugowaardlangedijk-nl05b.mail.protection.outlook.com";"10";"presentheerhugowaard-langedijk.nl";"MX";"Unicode";"Answer";"144";"1439"
"MX";"mail.presentheerlen.nl";"mail.presentheerlen.nl";"10";"presentheerlen.nl";"MX";"Unicode";"Answer";"62";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presenthelmond.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presenthilversum.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presenthoekschewaard.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presenthollandskroon.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presenthoogeveen.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presenthoorn.nl";"mail.presenthoorn.nl";"10";"presenthoorn.nl";"MX";"Unicode";"Answer";"58";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presenthouten.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presenthss.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentkampen-nl.mail.protection.outlook.com";"presentkampen-nl.mail.protection.outlook.com";"0";"presentkampen.nl";"MX";"Unicode";"Answer";"106";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentleeuwarden.nl";"MX";"Unicode";"Answer";"56";"1254"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentleiden.nl";"MX";"Unicode";"Answer";"56";"1254"
"MX";"mail.presentlelystad.nl";"mail.presentlelystad.nl";"10";"presentlelystad.nl";"MX";"Unicode";"Answer";"64";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentlisse.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentmaassluis-nl.mail.protection.outlook.com";"presentmaassluis-nl.mail.protection.outlook.com";"0";"presentmaassluis.nl";"MX";"Unicode";"Answer";"112";"3599"
"MX";"mail.presentmaastricht.nl";"mail.presentmaastricht.nl";"10";"presentmaastricht.nl";"MX";"Unicode";"Answer";"68";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentmeppel.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentmidden-groningen.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentnederland-nl.mail.protection.outlook.com";"presentnederland-nl.mail.protection.outlook.com";"10";"presentnederland.nl";"MX";"Unicode";"Answer";"112";"1439"
"MX";"mail.presentnet.nl";"mail.presentnet.nl";"10";"presentnet.nl";"MX";"Unicode";"Answer";"54";"1254"
"MX";"presentnijmegen-nl.mail.protection.outlook.com";"presentnijmegen-nl.mail.protection.outlook.com";"10";"presentnijmegen.nl";"MX";"Unicode";"Answer";"110";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentnof.nl";"MX";"Unicode";"Answer";"56";"1439"
