"QueryType";"Administrator";"PrimaryServer";"NameAdministrator";"SerialNumber";"TimeToZoneRefresh";"TimeToZoneFailureRetry";"TimeToExpiration";"DefaultTTL";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"SOA";"hostmaster.presentdordrecht-papendrecht.nl";"ns1-415.axc.nl";"hostmaster.presentdordrecht-papendrecht.nl";"2020122225";"3600";"3600";"1209600";"86400";"presentdordrecht-papendrecht.nl";"SOA";"Unicode";"Answer";"156";"3599"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentede.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenteindhoven.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentelburg.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentemmen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014112400";"14400";"3600";"604800";"3600";"presentenschede.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2016042100";"14400";"3600";"604800";"3600";"presentepe-heerde.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014030600";"14400";"3600";"604800";"3600";"presentermelo.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2015121700";"14400";"3600";"604800";"3600";"presentfraneker.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentfryslan.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2016092300";"14400";"3600";"604800";"3600";"presentgeldermalsen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"hostmaster.presentgouda.nl";"ns1-415.axc.nl";"hostmaster.presentgouda.nl";"2020122418";"3600";"3600";"1209600";"86400";"presentgouda.nl";"SOA";"Unicode";"Answer";"124";"3599"
