"QueryType";"Administrator";"PrimaryServer";"NameAdministrator";"SerialNumber";"TimeToZoneRefresh";"TimeToZoneFailureRetry";"TimeToExpiration";"DefaultTTL";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"SOA";"hostmaster.presentdordrecht.nl";"ns1-415.axc.nl";"hostmaster.presentdordrecht.nl";"2020122104";"3600";"3600";"1209600";"86400";"presentdordrecht.nl";"SOA";"Unicode";"Authority";"132";"1640"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014061101";"14400";"3600";"604800";"3600";"stichtingpresent.nl";"SOA";"Unicode";"Authority";"100";"1439"
"SOA";"hostmaster.presenthaarlem.nl";"ns1-415.axc.nl";"hostmaster.presenthaarlem.nl";"2020122304";"3600";"3600";"1209600";"86400";"presenthaarlem.nl";"SOA";"Unicode";"Authority";"128";"1799"
"SOA";"hostmaster.presentmaassluis.nl";"ns1-415.axc.nl";"hostmaster.presentmaassluis.nl";"2020122200";"3600";"3600";"1209600";"86400";"presentmaassluis.nl";"SOA";"Unicode";"Authority";"132";"1799"
"SOA";"hostmaster.presentpapendrecht.nl";"ns1-415.axc.nl";"hostmaster.presentpapendrecht.nl";"2020122200";"3600";"3600";"1209600";"86400";"presentpapendrecht.nl";"SOA";"Unicode";"Authority";"136";"1799"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014112400";"14400";"3600";"604800";"3600";"presentnederland.nl";"SOA";"Unicode";"Authority";"100";"1281"
"SOA";"hostmaster.presentdordrecht-papendrecht.nl";"ns1-415.axc.nl";"hostmaster.presentdordrecht-papendrecht.nl";"2020122225";"3600";"3600";"1209600";"86400";"presentdordrecht-papendrecht.nl";"SOA";"Unicode";"Authority";"156";"1641"
"SOA";"hostmaster.jongpresent.nl";"ns1-415.axc.nl";"hostmaster.jongpresent.nl";"2020122323";"3600";"3600";"1209600";"86400";"jongpresent.nl";"SOA";"Unicode";"Authority";"122";"1799"
